sample,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS
P01547,10956875000,10594237581,NA,4935541852,5155683827,303939921,199071981,0,21528987,372020,NA,0.46587,0.48665,0.028689,0.018791,0.95252,0.920995,0.983014,0.935324,0.070797,0.873714,0.085745
P01549,8581960500,8409781734,NA,4935070965,3024398436,305173130,145139203,0,23511275,1364490,NA,0.586825,0.359629,0.036288,0.017258,0.946454,0.927465,0.945148,0.607648,0.330845,0.458009,0.518763
P01556,10478701750,10188871505,NA,6053318537,3457262315,498465785,179824868,0,23852155,3578800,NA,0.594111,0.339317,0.048923,0.017649,0.933428,0.907611,0.869534,0.613532,0.257435,0.444773,0.434519
P01558,10242308375,10059358112,NA,6516289318,3021886607,368783940,152398247,0,32117645,501485,NA,0.647784,0.300406,0.036661,0.01515,0.948189,0.931253,0.984626,0.642185,0.219253,0.400664,0.451958
P01559,11723800375,11463194195,NA,7276504203,3543041650,457477518,186170824,0,33978070,3005501,NA,0.634771,0.30908,0.039908,0.016241,0.943851,0.92287,0.918734,0.62105,0.297863,0.428401,0.514881
P01561,13268861500,12549920394,NA,7957537977,3962243215,425106417,205032785,0,33282008,6826845,NA,0.634071,0.315719,0.033873,0.016337,0.949789,0.898327,0.829792,0.719811,0.292066,0.390674,0.600779
P01562,5560156125,5272529711,NA,2903877040,2030426979,218541051,119684641,0,11412318,2118175,NA,0.550756,0.385095,0.041449,0.0227,0.935851,0.88744,0.843452,0.873191,0.138396,0.685164,0.19139
P01563,9566802375,9424080350,NA,5652297283,3117790814,484635360,169356893,0,29780353,644568,NA,0.599772,0.330832,0.051425,0.017971,0.930604,0.916721,0.978814,0.641487,0.148514,0.450818,0.294775
P01567,11747520125,11438960995,NA,7039516151,3426900773,539708216,432835855,0,34961422,4407834,NA,0.615398,0.299581,0.047182,0.037839,0.91498,0.890947,0.888039,0.631361,0.25366,0.397217,0.432175
P01568,11147016000,10887365403,NA,6544652582,3781001243,386060622,175650956,0,33343719,520791,NA,0.601124,0.347283,0.03546,0.016133,0.948407,0.926316,0.984621,0.654734,0.144832,0.491152,0.262599
P01570,12147111875,11738596349,NA,6198250808,4497838112,776010667,266496762,0,30224011,912492,NA,0.528023,0.383167,0.066108,0.022703,0.91119,0.880546,0.970694,0.662682,0.134647,0.463964,0.247189
P01572,9467854500,9297922413,NA,5114222543,2519294367,668766683,995638820,0,19110972,531691,NA,0.550039,0.270952,0.071926,0.107082,0.820992,0.806256,0.972932,0.643475,0.273731,0.399487,0.535818
P01573,11582303125,11298464003,NA,5078368352,5600822176,396974280,222299195,0,23487087,429148,NA,0.449474,0.495715,0.035135,0.019675,0.94519,0.922027,0.982056,0.943522,0.071293,0.830245,0.087221
P01574,11890490250,11751391697,NA,6133550360,3430569461,941993976,1245277900,0,29326255,484690,NA,0.521942,0.291929,0.08016,0.105969,0.813871,0.80435,0.983741,0.643541,0.213066,0.454574,0.382204
